2022-11-05 07:26:46.649  INFO 1616 --- [restartedMain] c.c.c.ConfigServicePropertySourceLocator : Fetching config from server at : http://localhost:8888
2022-11-05 07:26:49.223  INFO 1616 --- [restartedMain] c.c.c.ConfigServicePropertySourceLocator : Connect Timeout Exception on Url - http://localhost:8888. Will be trying the next url if available
2022-11-05 07:26:49.224  WARN 1616 --- [restartedMain] c.c.c.ConfigServicePropertySourceLocator : Could not locate PropertySource: I/O error on GET request for "http://localhost:8888/albums-ws/default": Connection refused: connect; nested exception is java.net.ConnectException: Connection refused: connect
2022-11-05 07:26:49.229  INFO 1616 --- [restartedMain] c.a.p.a.a.PhotoAppApiAlbumsApplication   : No active profile set, falling back to default profiles: default
2022-11-05 07:26:51.431  WARN 1616 --- [restartedMain] o.s.boot.actuate.endpoint.EndpointId     : Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2022-11-05 07:26:52.063  INFO 1616 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=14f2c84d-4279-34f4-b730-1deb2e858fae
2022-11-05 07:26:52.376  INFO 1616 --- [restartedMain] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$e1c2107] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-11-05 07:26:53.593  INFO 1616 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 0 (http)
2022-11-05 07:26:53.649  INFO 1616 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-11-05 07:26:53.651  INFO 1616 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.14]
2022-11-05 07:26:53.676  INFO 1616 --- [restartedMain] o.a.catalina.core.AprLifecycleListener   : The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\applications\jdk-11.0.15.1\bin;C:\Windows\Sun\Java\bin;C:\Windows\system32;C:\Windows;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Windows\System32\OpenSSH\;C:\applications\jdk-11.0.15.1\bin;C:\Program Files\Git\cmd;C:\Users\telly\AppData\Local\Microsoft\WindowsApps;C:\Users\telly\AppData\Local\Programs\Microsoft VS Code\bin;C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2022.2.2\bin;;C:\applications\jdk-11.0.15.1\bin;;.]
2022-11-05 07:26:53.894  INFO 1616 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2022-11-05 07:26:53.895  INFO 1616 --- [restartedMain] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 4618 ms
