2023-08-21 22:42:45.777  INFO 5680 --- [restartedMain] c.c.c.ConfigServicePropertySourceLocator : Fetching config from server at : http://localhost:8888
2023-08-21 22:42:45.968  INFO 5680 --- [restartedMain] c.c.c.ConfigServicePropertySourceLocator : Connect Timeout Exception on Url - http://localhost:8888. Will be trying the next url if available
2023-08-21 22:42:45.969  WARN 5680 --- [restartedMain] c.c.c.ConfigServicePropertySourceLocator : Could not locate PropertySource: I/O error on GET request for "http://localhost:8888/albums-ws/default": Connection refused: connect; nested exception is java.net.ConnectException: Connection refused: connect
2023-08-21 22:42:45.974  INFO 5680 --- [restartedMain] c.a.p.a.a.PhotoAppApiAlbumsApplication   : No active profile set, falling back to default profiles: default
2023-08-21 22:42:47.831  WARN 5680 --- [restartedMain] o.s.boot.actuate.endpoint.EndpointId     : Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2023-08-21 22:42:48.330  INFO 5680 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=14f2c84d-4279-34f4-b730-1deb2e858fae
2023-08-21 22:42:48.528  INFO 5680 --- [restartedMain] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$e998161a] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-08-21 22:42:49.834  INFO 5680 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 0 (http)
2023-08-21 22:42:49.884  INFO 5680 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2023-08-21 22:42:49.885  INFO 5680 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.14]
2023-08-21 22:42:49.905  INFO 5680 --- [restartedMain] o.a.catalina.core.AprLifecycleListener   : The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\Users\telly\.jdks\corretto-11.0.19\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\Program Files\Common Files\Oracle\Java\javapath;C:\applications\apache-maven-3.9.2\bin;C:\wamp64\bin\mysql\mysql8.0.31\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\;C:\applications\jdk-17.0.7\bin;C:\Program Files\Git\cmd;C:\Program Files\MongoDB\Server\5.0\bin;C:\applications\node-v16.17.0-win-x64;C:\Program Files\PuTTY\;C:\Users\telly\AppData\Local\Microsoft\WindowsApps;C:\applications\jdk-17.0.7\bin;C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2022.1.4\bin;;C:\Program Files\MongoDB\Server\5.0\bin;C:\Users\telly\AppData\Roaming\npm;C:\Users\telly\AppData\Local\Programs\Microsoft VS Code\bin;.]
2023-08-21 22:42:50.148  INFO 5680 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2023-08-21 22:42:50.148  INFO 5680 --- [restartedMain] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 4150 ms
2023-08-21 22:42:50.405  WARN 5680 --- [restartedMain] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
